customerid,total_purchase,count_orders,tot_items,first_purchase_date,last_purchase_date,num_unique_products,avg_order_val,avg_items_per_order,product_diversity_ratio,max_order_val,min_order_val,std_order_val,days_since_last_purchase,days_since_first_purchase,purchase_span,avg_days_between_orders,total_cancellation_count,total_cancellation_amnt,total_cancelled_qty,last_cancel_date,days_since_last_cancellation,cancellation_rate,order_completion_rate,return_purchase_ratio,per_day_purchase_amnt,activity_gap,churn,high_value_customer,high_future_cancellation
12379,459.84,1,211,2011-06-22 16:32:00,2011-06-22 16:32:00,20,459.84,211.0,0.0947867298578199,459.84,459.84,0.0,78,78,0,0.0,1.0,1.95,1.0,2011-07-07 10:26:00,64.0,0.5,0.5,0.004739336492890996,5.895384615384615,0,0,0,0
12380,607.5500000000001,1,293,2011-06-07 09:49:00,2011-06-07 09:49:00,36,607.5500000000001,293.0,0.12286689419795221,607.5500000000001,607.5500000000001,0.0,94,94,0,0.0,0.0,0.0,0.0,,94.0,0.0,1.0,0.0,6.463297872340426,0,0,1,0
12381,1268.74,1,568,2011-08-12 09:57:00,2011-08-12 09:57:00,62,1268.74,568.0,0.10915492957746478,1268.74,1268.74,0.0,28,28,0,0.0,1.0,41.35,25.0,2011-08-31 17:10:00,8.0,0.5,0.5,0.04401408450704225,45.31214285714286,0,0,0,0
12383,1850.56,5,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,84,370.11199999999997,306.4,0.05483028720626632,651.16,99.45,253.75093806723163,93,260,167,41.75,1.0,11.25,3.0,2011-01-19 14:36:00,232.0,0.16666666666666666,0.8333333333333334,0.0019582245430809398,7.117538461538461,1,1,0,0
12384,292.69,1,62,2011-08-10 11:23:00,2011-08-10 11:23:00,14,292.69,62.0,0.22580645161290322,292.69,292.69,0.0,30,30,0,0.0,0.0,0.0,0.0,,30.0,0.0,1.0,0.0,9.756333333333334,0,0,0,0
12386,401.9,2,354,2010-12-08 09:53:00,2011-01-06 12:37:00,10,200.95,177.0,0.02824858757062147,258.9,143.0,81.95367593952083,246,275,29,29.0,0.0,0.0,0.0,,275.0,0.0,1.0,0.0,1.4614545454545453,1,1,0,0
12388,1668.3400000000001,4,760,2011-01-17 11:12:00,2011-07-14 13:28:00,50,417.08500000000004,190.0,0.06578947368421052,902.09,124.05000000000001,348.2401861263765,56,235,178,59.333333333333336,0.0,0.0,0.0,,235.0,0.0,1.0,0.0,7.09931914893617,0,0,0,0
12393,1061.1000000000001,3,522,2011-01-11 09:47:00,2011-04-08 09:45:00,33,353.70000000000005,174.0,0.06321839080459771,462.5,177.00000000000003,154.38707847485165,154,241,86,43.0,0.0,0.0,0.0,,241.0,0.0,1.0,0.0,4.402904564315353,1,0,0,0
12394,381.08,1,182,2011-05-06 14:01:00,2011-05-06 14:01:00,21,381.08,182.0,0.11538461538461539,381.08,381.08,0.0,125,125,0,0.0,0.0,0.0,0.0,,125.0,0.0,1.0,0.0,3.04864,0,0,0,0
12395,1899.57,8,1629,2010-12-03 16:35:00,2011-08-19 15:18:00,65,237.44625,203.625,0.03990178023327195,346.1,149.97,84.79090684695248,20,279,258,36.857142857142854,2.0,17.8,4.0,2011-02-18 15:16:00,202.0,0.2,0.8,0.0024554941682013503,6.808494623655914,0,0,0,0
12397,1214.81,1,704,2011-07-27 14:21:00,2011-07-27 14:21:00,70,1214.81,704.0,0.09943181818181818,1214.81,1214.81,0.0,43,43,0,0.0,0.0,0.0,0.0,,43.0,0.0,1.0,0.0,28.251395348837207,0,0,0,0
12399,1108.65,4,1178,2011-03-23 09:42:00,2011-08-12 13:15:00,47,277.1625,294.5,0.039898132427843805,480.90000000000003,130.08,150.35819196727084,27,170,142,47.333333333333336,0.0,0.0,0.0,,170.0,0.0,1.0,0.0,6.521470588235295,0,1,0,0
12401,84.3,1,11,2011-02-09 13:50:00,2011-02-09 13:50:00,5,84.3,11.0,0.45454545454545453,84.3,84.3,0.0,211,211,0,0.0,0.0,0.0,0.0,,211.0,0.0,1.0,0.0,0.39952606635071086,0,1,0,0
12402,225.6,1,94,2011-01-20 13:49:00,2011-01-20 13:49:00,11,225.6,94.0,0.11702127659574468,225.6,225.6,0.0,231,231,0,0.0,0.0,0.0,0.0,,231.0,0.0,1.0,0.0,0.9766233766233766,0,1,0,0
12405,1710.39,1,857,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1710.39,857.0,0.06301050175029171,1710.39,1710.39,0.0,57,57,0,0.0,0.0,0.0,0.0,,57.0,0.0,1.0,0.0,30.00684210526316,0,1,0,0
12406,1621.25,1,793,2011-06-09 10:23:00,2011-06-09 10:23:00,48,1621.25,793.0,0.0605296343001261,1621.25,1621.25,0.0,92,92,0,0.0,1.0,134.55,9.0,2011-08-09 09:41:00,31.0,0.5,0.5,0.011349306431273645,17.622282608695652,0,0,1,0
12407,1407.3600000000001,4,1237,2011-03-20 13:21:00,2011-07-28 16:28:00,50,351.84000000000003,309.25,0.04042037186742118,719.06,192.34,246.84990203225382,42,172,130,43.333333333333336,0.0,0.0,0.0,,172.0,0.0,1.0,0.0,8.18232558139535,0,0,0,0
12408,2134.0499999999997,4,1044,2011-03-24 14:46:00,2011-09-02 10:27:00,67,533.5124999999999,261.0,0.06417624521072797,762.89,74.7,310.6519822754502,7,168,161,53.666666666666664,3.0,30.98,9.0,2011-06-29 15:38:00,71.0,0.42857142857142855,0.5714285714285714,0.008620689655172414,12.702678571428569,0,0,0,0
12409,6207.08,1,3142,2011-06-10 12:19:00,2011-06-10 12:19:00,64,6207.08,3142.0,0.020369191597708464,6207.08,6207.08,0.0,91,91,0,0.0,1.0,4.95,1.0,2011-08-14 14:33:00,25.0,0.5,0.5,0.00031826861871419476,68.20967032967033,0,0,1,1
12410,693.3299999999999,2,211,2011-02-04 10:38:00,2011-02-04 10:39:00,26,346.66499999999996,105.5,0.12322274881516587,625.3299999999999,68.0,394.0918223586985,217,217,0,0.0,1.0,12.25,2.0,2011-02-11 15:47:00,209.0,0.3333333333333333,0.6666666666666666,0.009478672985781991,3.195069124423963,1,1,0,0
12412,890.74,2,599,2011-06-23 13:51:00,2011-07-25 11:17:00,34,445.37,299.5,0.05676126878130217,514.5,376.24,97.76458356685205,46,77,31,31.0,0.0,0.0,0.0,,77.0,0.0,1.0,0.0,11.568051948051949,0,0,0,0
12413,563.9,2,205,2011-01-06 16:12:00,2011-04-17 15:33:00,25,281.95,102.5,0.12195121951219512,479.25,84.65,279.0243358562117,144,245,100,100.0,2.0,63.95,4.0,2011-01-12 09:52:00,240.0,0.5,0.5,0.01951219512195122,2.3016326530612243,0,0,0,0
12414,562.41,3,300,2011-02-02 14:51:00,2011-05-06 14:51:00,16,187.47,100.0,0.05333333333333334,242.8,153.76,48.29698437790916,125,218,93,46.5,0.0,0.0,0.0,,218.0,0.0,1.0,0.0,2.5798623853211007,1,1,0,0
12415,102087.88,15,66701,2011-01-06 11:12:00,2011-09-01 13:51:00,382,6805.858666666667,4446.733333333334,0.0057270505689569874,22775.93,61.199999999999996,8394.95299482192,7,246,238,17.0,3.0,752.35,307.0,2011-07-19 12:26:00,52.0,0.16666666666666666,0.8333333333333334,0.004602629645732448,414.99138211382115,0,0,1,0
12417,2816.52,7,1229,2010-12-17 11:51:00,2011-08-25 10:26:00,132,402.36,175.57142857142858,0.10740439381611067,562.69,291.34,90.25258795920114,15,266,250,41.666666666666664,2.0,50.349999999999994,12.0,2011-03-10 11:19:00,183.0,0.2222222222222222,0.7777777777777778,0.009764035801464606,10.58842105263158,0,0,0,0
12418,668.58,1,407,2011-08-19 11:08:00,2011-08-19 11:08:00,34,668.58,407.0,0.08353808353808354,668.58,668.58,0.0,21,21,0,0.0,0.0,0.0,0.0,,21.0,0.0,1.0,0.0,31.837142857142858,0,1,0,0
12421,628.56,3,407,2011-01-24 15:09:00,2011-08-17 10:56:00,25,209.51999999999998,135.66666666666666,0.06142506142506143,239.35,157.45,45.25335015222631,23,227,204,102.0,1.0,0.77,1.0,2011-06-19 14:05:00,81.0,0.25,0.75,0.002457002457002457,2.768986784140969,0,0,0,0
12422,803.5600000000001,3,370,2011-01-19 09:13:00,2011-09-05 09:48:00,39,267.85333333333335,123.33333333333333,0.10540540540540541,417.36,147.7,137.20547559530317,4,233,229,114.5,0.0,0.0,0.0,,233.0,0.0,1.0,0.0,3.448755364806867,0,1,0,0
12423,1650.67,7,1136,2010-12-21 10:54:00,2011-08-31 08:55:00,86,235.81,162.28571428571428,0.07570422535211267,347.35,84.92,89.86130016122995,9,262,252,42.0,1.0,10.2,12.0,2011-09-02 12:00:00,7.0,0.125,0.875,0.01056338028169014,6.300267175572519,0,0,0,0
12424,1760.96,2,740,2011-06-30 12:06:00,2011-06-30 12:06:00,30,880.48,370.0,0.04054054054054054,1466.3200000000002,294.64000000000004,828.5028733806541,71,71,0,0.0,0.0,0.0,0.0,,71.0,0.0,1.0,0.0,24.80225352112676,1,1,0,0
12426,582.73,1,258,2011-05-29 12:26:00,2011-05-29 12:26:00,30,582.73,258.0,0.11627906976744186,582.73,582.73,0.0,103,103,0,0.0,0.0,0.0,0.0,,103.0,0.0,1.0,0.0,5.657572815533981,0,1,0,0
12427,303.5,1,79,2010-12-03 10:44:00,2010-12-03 10:44:00,10,303.5,79.0,0.12658227848101267,303.5,303.5,0.0,280,280,0,0.0,1.0,56.95,9.0,2010-12-23 10:20:00,260.0,0.5,0.5,0.11392405063291139,1.0839285714285714,0,0,0,0
12428,7548.12,8,3386,2011-03-01 09:33:00,2011-08-11 12:58:00,252,943.515,423.25,0.0744240992321323,2474.62,373.72,798.9011483817721,28,192,163,23.285714285714285,3.0,79.26,33.0,2011-08-23 10:42:00,17.0,0.2727272727272727,0.7272727272727273,0.009746012994683993,39.313125,0,0,0,0
12429,2844.88,3,1045,2010-12-09 12:05:00,2011-06-20 12:14:00,62,948.2933333333334,348.3333333333333,0.05933014354066986,1281.5,437.98,448.78344012823527,81,274,193,96.5,0.0,0.0,0.0,,274.0,0.0,1.0,0.0,10.382773722627737,0,0,0,0
12431,4807.07,11,2098,2010-12-01 10:03:00,2011-08-12 14:19:00,134,437.00636363636363,190.72727272727272,0.06387035271687322,640.1,118.8,141.03781062344433,27,282,254,25.4,3.0,71.06,50.0,2011-07-26 10:15:00,45.0,0.21428571428571427,0.7857142857142857,0.023832221163012392,17.046347517730496,0,0,1,0
12432,4016.66,3,1427,2011-06-20 13:27:00,2011-06-22 13:12:00,75,1338.8866666666665,475.6666666666667,0.05255781359495445,2862.06,454.6,1324.8011332020114,78,80,1,0.5,0.0,0.0,0.0,,80.0,0.0,1.0,0.0,50.20825,1,0,0,0
12433,3787.12,2,3582,2010-12-01 13:24:00,2010-12-08 16:49:00,79,1893.56,1791.0,0.022054718034617532,1919.1399999999999,1867.98,36.17558292550367,274,281,7,7.0,0.0,0.0,0.0,,281.0,0.0,1.0,0.0,13.47729537366548,1,0,1,0
12434,286.25,1,77,2011-03-24 13:05:00,2011-03-24 13:05:00,16,286.25,77.0,0.2077922077922078,286.25,286.25,0.0,168,168,0,0.0,2.0,40.949999999999996,21.0,2011-04-04 09:57:00,158.0,0.6666666666666666,0.3333333333333333,0.2727272727272727,1.7038690476190477,0,0,0,0
12435,3978.9900000000002,1,879,2011-03-17 07:40:00,2011-03-17 07:40:00,19,3978.9900000000002,879.0,0.02161547212741752,3978.9900000000002,3978.9900000000002,0.0,176,176,0,0.0,0.0,0.0,0.0,,176.0,0.0,1.0,0.0,22.60789772727273,0,0,1,0
12436,509.01,1,211,2011-09-01 12:09:00,2011-09-01 12:09:00,16,509.01,211.0,0.07582938388625593,509.01,509.01,0.0,8,8,0,0.0,0.0,0.0,0.0,,8.0,0.0,1.0,0.0,63.62625,0,1,0,0
12437,2811.41,11,1797,2011-01-12 14:13:00,2011-09-02 13:15:00,63,255.58272727272725,163.36363636363637,0.035058430717863104,501.64,65.1,136.6898484958491,6,239,232,23.2,1.0,54.75,5.0,2011-01-31 13:28:00,220.0,0.08333333333333333,0.9166666666666666,0.0027824151363383415,11.763221757322174,0,0,1,0
12438,890.0699999999999,1,586,2011-07-22 13:29:00,2011-07-22 13:29:00,49,890.0699999999999,586.0,0.08361774744027303,890.0699999999999,890.0699999999999,0.0,48,48,0,0.0,0.0,0.0,0.0,,48.0,0.0,1.0,0.0,18.543125,0,0,1,0
12441,173.55,1,121,2010-12-08 10:45:00,2010-12-08 10:45:00,11,173.55,121.0,0.09090909090909091,173.55,173.55,0.0,275,275,0,0.0,0.0,0.0,0.0,,275.0,0.0,1.0,0.0,0.6310909090909091,0,1,0,0
12444,2627.27,2,650,2011-06-21 14:00:00,2011-08-10 08:41:00,96,1313.635,325.0,0.1476923076923077,1870.2,757.0699999999999,787.1017713421818,30,79,49,49.0,0.0,0.0,0.0,,79.0,0.0,1.0,0.0,33.25658227848101,0,0,1,0
12447,476.49,1,190,2011-04-10 13:25:00,2011-04-10 13:25:00,26,476.49,190.0,0.1368421052631579,476.49,476.49,0.0,151,151,0,0.0,0.0,0.0,0.0,,151.0,0.0,1.0,0.0,3.1555629139072847,0,1,0,0
12449,2724.58,3,1029,2011-06-05 15:37:00,2011-09-09 09:13:00,84,908.1933333333333,343.0,0.08163265306122448,1087.7,777.95,160.64377558229054,0,95,95,47.5,0.0,0.0,0.0,,95.0,0.0,1.0,0.0,28.67978947368421,0,0,1,0
12450,197.88,2,128,2011-06-19 14:36:00,2011-07-06 14:41:00,7,98.94,64.0,0.0546875,101.88,96.0,4.157787873376896,64,81,17,17.0,0.0,0.0,0.0,,81.0,0.0,1.0,0.0,2.442962962962963,1,1,0,0
12451,5307.82,2,4105,2011-01-19 09:05:00,2011-05-05 17:34:00,162,2653.91,2052.5,0.03946406820950061,2919.5099999999998,2388.31,375.61512216629393,126,233,106,106.0,1.0,102.0,120.0,2011-07-15 15:22:00,55.0,0.3333333333333333,0.6666666666666666,0.029232643118148598,22.780343347639484,0,0,1,0
12453,707.09,1,473,2011-07-28 14:08:00,2011-07-28 14:08:00,43,707.09,473.0,0.09090909090909091,707.09,707.09,0.0,42,42,0,0.0,0.0,0.0,0.0,,42.0,0.0,1.0,0.0,16.835476190476193,0,1,0,0
12455,2176.36,5,1766,2011-02-16 09:56:00,2011-08-04 11:07:00,67,435.27200000000005,353.2,0.037938844847112116,1683.9,15.0,704.025021515571,36,205,169,42.25,0.0,0.0,0.0,,205.0,0.0,1.0,0.0,10.61639024390244,0,0,0,0
12456,2265.4,2,1073,2011-03-30 09:12:00,2011-07-31 15:25:00,77,1132.7,536.5,0.0717614165890028,1325.23,940.1700000000001,272.27853716369196,39,163,123,123.0,1.0,27.15,17.0,2011-08-23 11:02:00,17.0,0.3333333333333333,0.6666666666666666,0.015843429636533086,13.898159509202454,0,0,0,0
12457,1067.25,3,397,2011-04-14 18:57:00,2011-04-20 10:10:00,23,355.75,132.33333333333334,0.05793450881612091,669.25,179.0,272.23461848192636,142,147,5,2.5,3.0,234.65,111.0,2011-08-02 16:23:00,37.0,0.5,0.5,0.2795969773299748,7.260204081632653,1,0,1,0
12458,441.92,1,270,2011-02-28 10:55:00,2011-02-28 10:55:00,19,441.92,270.0,0.07037037037037037,441.92,441.92,0.0,193,193,0,0.0,0.0,0.0,0.0,,193.0,0.0,1.0,0.0,2.2897409326424873,0,0,0,0
12461,826.88,2,287,2011-07-08 10:23:00,2011-09-06 16:57:00,35,413.44,143.5,0.12195121951219512,626.88,200.0,301.8497427529134,2,63,60,60.0,0.0,0.0,0.0,,63.0,0.0,1.0,0.0,13.125079365079365,0,1,0,0
12462,762.11,1,287,2011-02-09 14:44:00,2011-02-09 14:44:00,40,762.11,287.0,0.13937282229965156,762.11,762.11,0.0,211,211,0,0.0,1.0,20.8,4.0,2011-02-18 12:21:00,203.0,0.5,0.5,0.013937282229965157,3.6118957345971565,0,0,0,0
12463,985.79,3,577,2011-04-12 12:47:00,2011-06-17 14:28:00,51,328.59666666666664,192.33333333333334,0.08838821490467938,350.57,297.38,27.77361037627867,83,150,66,33.0,2.0,11.4,6.0,2011-05-24 17:30:00,107.0,0.4,0.6,0.010398613518197574,6.571933333333333,1,0,0,0
12464,780.55,6,81,2011-02-03 13:30:00,2011-08-25 13:33:00,6,130.09166666666667,13.5,0.07407407407407407,213.89999999999998,34.0,74.40098397646813,14,217,203,40.6,0.0,0.0,0.0,,217.0,0.0,1.0,0.0,3.5970046082949305,0,0,0,0
12465,440.94,1,294,2011-06-23 13:37:00,2011-06-23 13:37:00,26,440.94,294.0,0.08843537414965986,440.94,440.94,0.0,77,77,0,0.0,0.0,0.0,0.0,,77.0,0.0,1.0,0.0,5.726493506493506,0,0,0,0
12468,729.5400000000001,2,366,2011-01-27 13:29:00,2011-06-05 11:36:00,36,364.77000000000004,183.0,0.09836065573770492,508.95000000000005,220.59,203.9013114229529,96,224,128,128.0,1.0,5.5,2.0,2011-07-19 13:42:00,51.0,0.3333333333333333,0.6666666666666666,0.00546448087431694,3.2568750000000004,0,1,0,0
12471,11081.0,19,4340,2010-12-10 09:35:00,2011-08-24 16:13:00,108,583.2105263157895,228.42105263157896,0.02488479262672811,1947.01,29.700000000000003,535.4194103013874,15,273,257,14.277777777777779,15.0,798.8,160.0,2011-09-08 10:02:00,1.0,0.4411764705882353,0.5588235294117647,0.03686635944700461,40.58974358974359,0,0,1,1
12472,4927.6,5,3088,2010-12-05 14:19:00,2011-07-24 11:55:00,180,985.5200000000001,617.6,0.05829015544041451,1631.3,592.18,451.63081870040713,47,277,230,57.5,4.0,298.96999999999997,113.0,2011-07-07 11:44:00,64.0,0.4444444444444444,0.5555555555555556,0.03659326424870466,17.789169675090253,0,0,1,0
12473,1175.75,2,853,2011-06-01 10:15:00,2011-08-17 12:04:00,60,587.875,426.5,0.07033997655334115,661.6899999999999,514.06,104.39017410657004,23,100,77,77.0,2.0,76.46,73.0,2011-06-07 15:37:00,93.0,0.5,0.5,0.08558030480656506,11.7575,0,0,1,1
12474,4362.06,13,2798,2011-01-14 10:06:00,2011-09-02 10:53:00,153,335.54307692307697,215.23076923076923,0.0546819156540386,806.47,7.800000000000001,255.24605998867756,7,238,231,19.25,8.0,148.62,41.0,2011-09-01 09:40:00,8.0,0.38095238095238093,0.6190476190476191,0.014653323802716226,18.327983193277312,0,0,1,1
12476,3191.67,6,1132,2010-12-13 14:39:00,2011-07-21 17:39:00,91,531.945,188.66666666666666,0.0803886925795053,1411.67,12.45,505.3887047708922,49,269,220,44.0,6.0,130.7,23.0,2011-08-04 10:36:00,36.0,0.5,0.5,0.020318021201413426,11.864944237918216,0,0,1,1
12477,8834.03,3,2518,2011-02-11 12:45:00,2011-08-31 09:11:00,156,2944.6766666666667,839.3333333333334,0.061953931691818905,4257.0599999999995,2221.02,1138.5578757504304,9,210,200,100.0,3.0,102.72999999999999,33.0,2011-09-09 10:32:00,0.0,0.5,0.5,0.013105639396346307,42.066809523809525,0,0,1,0
12480,2144.95,3,1096,2011-01-07 15:27:00,2011-07-19 14:04:00,97,714.9833333333332,365.3333333333333,0.0885036496350365,816.25,557.6800000000001,138.09305642693744,51,244,192,96.0,0.0,0.0,0.0,,244.0,0.0,1.0,0.0,8.79077868852459,0,0,0,0
12481,4085.2599999999998,8,2351,2010-12-09 10:13:00,2011-06-13 10:52:00,112,510.65749999999997,293.875,0.047639302424500214,1001.21,134.82,307.285793858328,88,274,186,26.571428571428573,1.0,5.46,14.0,2011-04-06 11:06:00,156.0,0.1111111111111111,0.8888888888888888,0.005954912803062527,14.909708029197079,1,0,1,0
12483,1624.06,6,792,2011-01-04 14:20:00,2011-09-02 11:42:00,38,270.6766666666667,132.0,0.047979797979797977,547.56,8.5,187.6798984086113,7,247,240,48.0,3.0,57.0,5.0,2011-05-04 16:18:00,127.0,0.3333333333333333,0.6666666666666666,0.006313131313131313,6.575141700404858,0,0,0,0
12484,3658.65,4,1857,2011-01-07 14:04:00,2011-08-31 09:44:00,222,914.6625,464.25,0.11954765751211632,1241.99,140.0,518.7484340458292,9,244,235,78.33333333333333,1.0,36.5,5.0,2011-03-07 11:41:00,186.0,0.2,0.8,0.0026925148088314485,14.994467213114755,0,0,0,0
12489,334.93,1,105,2011-01-07 13:13:00,2011-01-07 13:13:00,15,334.93,105.0,0.14285714285714285,334.93,334.93,0.0,244,244,0,0.0,0.0,0.0,0.0,,244.0,0.0,1.0,0.0,1.3726639344262295,0,1,0,0
12490,3552.59,6,2010,2011-01-14 09:13:00,2011-09-07 13:22:00,102,592.0983333333334,335.0,0.050746268656716415,1035.82,331.5,286.6569604538963,1,238,236,47.2,0.0,0.0,0.0,,238.0,0.0,1.0,0.0,14.9268487394958,0,0,1,0
12492,126.39000000000001,1,69,2011-08-26 14:51:00,2011-08-26 14:51:00,9,126.39000000000001,69.0,0.13043478260869565,126.39000000000001,126.39000000000001,0.0,13,13,0,0.0,0.0,0.0,0.0,,13.0,0.0,1.0,0.0,9.722307692307693,0,0,0,0
12493,433.74,2,207,2011-05-26 14:53:00,2011-06-27 10:17:00,20,216.87,103.5,0.0966183574879227,232.5,201.24,22.10415797989147,74,105,31,31.0,1.0,16.95,1.0,2011-05-31 13:45:00,100.0,0.3333333333333333,0.6666666666666666,0.004830917874396135,4.130857142857143,1,1,0,0
